platform,cell_class,metric,n_cells,n_source_clusters,source_clusters,mean_score,median_score,sd_score,mad_score,p05_score,p25_score,p75_score,p90_score,p95_score,p99_score,min_score,max_score,positive_fraction,top_n_mean_score,metric_label
3-end RNA-seq,Fibroblast,perturbation_score_euclidean,2990,1,5,1.5383485228066698,1.5455538281949226,0.1648372932343205,0.1263782632270753,1.2671981465414277,1.456582093241786,1.6278194522222957,1.7175316408728738,1.7822137824811521,1.979676274747132,0.4049403303530887,2.2057159670359563,1,1.8632212471004357,Euclidean score
Full-length RNA-seq,Fibroblast,perturbation_score_euclidean,23375,4,0;10;16;3,1.329234421819174,1.331805962946347,0.32191712507090653,0.27660093089153603,0.7751744771402771,1.1508393346572507,1.5244980782418183,1.7198329730069535,1.8380776589609857,2.0878182385464954,0.06302251447939437,3.104887508905752,1,2.2824533442567874,Euclidean score
3-end RNA-seq,Keratinocyte,perturbation_score_euclidean,7469,4,13;6;7;8,1.7717936625305026,1.808449225734984,0.32930104522873777,0.22764685883189006,1.1523635942537134,1.6203669319371745,1.9403499328339393,2.105702527320898,2.2634731170399283,2.6462252521878398,0.35746464392638333,3.5696858099308377,1,2.6495449492370122,Euclidean score
Full-length RNA-seq,Keratinocyte,perturbation_score_euclidean,7692,3,11;5;7,1.5492895859410805,1.709284409983245,0.5812159808714878,0.44609753130305846,0.43137537165760004,1.205501757637846,1.9502263066321137,2.1476240212274145,2.2889907789408817,2.606297313995811,0.1447508561200719,3.853755308851288,1,2.624961975078756,Euclidean score
3-end RNA-seq,Endothelial,perturbation_score_euclidean,4198,1,0,1.0193212434727228,1.0221230110382606,0.1485693194701664,0.12060197688649281,0.7740823840563845,0.9391446195796462,1.1022393337064842,1.1891052069710342,1.2506832527062408,1.4020845266518647,0.35334914883139656,1.7179434255190238,1,1.3455285345808823,Euclidean score
Full-length RNA-seq,Endothelial,perturbation_score_euclidean,11659,2,1;8,1.375226087213482,1.3957476616378313,0.329471513067698,0.27518435295414273,0.7748569371122964,1.2037108797842775,1.5753582038317964,1.7502841331639696,1.8717869499746231,2.1560995570870296,0.07912115987587227,2.746323586295117,1,2.234659440931319,Euclidean score
3-end RNA-seq,Perivascular smooth muscle,perturbation_score_euclidean,1615,2,11;21,1.1544721315948163,1.159890319163761,0.24081175062699184,0.2065453639766581,0.7305715253535916,1.023845572957403,1.300239819403614,1.4289882044680824,1.5366417168542585,1.7868261543379451,0.3080251038441341,2.195736904968572,1,1.552271149362618,Euclidean score
Full-length RNA-seq,Perivascular smooth muscle,perturbation_score_euclidean,6165,1,4,1.3301068216948209,1.332031691400872,0.32981868657149466,0.2897114267371992,0.7523657716177268,1.1364871441153075,1.5273445455988184,1.7347178097925935,1.8717213800519132,2.2181242449833767,0.2394777765734842,2.7394863056622873,1,2.1305592886490827,Euclidean score
3-end RNA-seq,T cell,perturbation_score_euclidean,2436,2,1;10,0.7754953537700364,0.7479652199841356,0.19681410650498982,0.16649650673898267,0.5165402270262506,0.6529737126545727,0.8649800905592382,1.0199260272466126,1.0868343847687507,1.4546045423387555,0.364298090536979,1.930524684730874,1,1.2171400238383256,Euclidean score
Full-length RNA-seq,T cell,perturbation_score_euclidean,8909,1,2,1.0968755547246336,1.1046412077881023,0.26728128935522055,0.22562507601341966,0.6128482568191039,0.951518601947059,1.2561169958294025,1.4118025995700303,1.5264245716486695,1.771260985064875,0.2945031572279285,2.2032999577001604,1,1.7870508897744324,Euclidean score
Full-length RNA-seq,B cell,perturbation_score_euclidean,474,1,12,0.8591413365620721,0.8032973361964854,0.3610138456182225,0.37294119726328856,0.3097385111177664,0.5517519448142592,1.1327866798062396,1.321065503150359,1.6388508639516992,1.650271015291095,0.3097385111177664,1.650271015291095,1,1.2005965215545087,Euclidean score
3-end RNA-seq,Plasma cell,perturbation_score_euclidean,922,1,14,3.7118125624402256,3.7446043035634125,0.4984358820157003,0.47026007883120524,2.8743730931692935,3.4212909539468686,4.056734817246556,4.261439124498582,4.470730018044613,4.986687299136849,2.048515986880031,5.312995566016934,1,4.329204316917102,Euclidean score
Full-length RNA-seq,Plasma cell,perturbation_score_euclidean,492,1,13,2.4123716997799445,2.3337441573741926,0.8537503469008381,0.9587255382308215,1.04784961506135,1.791888455334343,2.985102439532256,3.500321910657288,3.888849300206635,4.314384547571105,1.04784961506135,4.314384547571105,1,3.2589372667292573,Euclidean score
3-end RNA-seq,Myeloid/dendritic,perturbation_score_euclidean,2778,2,22;4,1.2583832761346623,1.2530375913022427,0.12325963919871184,0.10385217662975826,1.0757038311166631,1.1842759331810768,1.324712342579562,1.3983403855749927,1.4506866350706031,1.6277090681822524,0.5702263816063065,2.0248850519085266,1,1.5226861833059313,Euclidean score
