platform,source_cluster,cell_class,marker_hits,assignment_margin,matched_marker_genes,n_cells,retained
3-end RNA-seq,0,Endothelial,11,11,PECAM1;ADGRL4;EMCN;LDB2;ENG;PTPRM;RAMP2;VWF;PLVAP;PTPRB;FLT1,4862,TRUE
3-end RNA-seq,1,T cell,10,5,CXCR4;CD3D;FYN;CD52;IL32;CD96;TRBC2;CD2;TRAC;STK17B,4755,TRUE
3-end RNA-seq,2,Low information,17,17,RPS21;RPS7;RPS18;RPL12;GAS5;RPL36;RPL10A;RPS3;RPS6;RPL36A;RPL31;RPL17;RPL32;RPL39;RPS23;RPL23A;RPL35A,4156,FALSE
3-end RNA-seq,3,Low information,9,9,MT-CO3;RPS21;RPS6;RPL10A;RPS18;MT-ND2;RPL32;MT-CO1;RPL34,3849,FALSE
3-end RNA-seq,4,Myeloid/dendritic,14,6,HLA-DRA;HLA-DRB1;HLA-DQB1;HLA-DPB1;HLA-DPA1;HLA-DQA1;CD74;TYROBP;CTSZ;CD83;CSF2RA;CTSH;FCER1G;AIF1,3516,TRUE
3-end RNA-seq,5,Fibroblast,12,12,COL1A2;DCN;COL6A1;COL3A1;COL6A3;COL1A1;COL6A2;PRRX1;LUM;CCDC80;FBN1;FBLN2,3296,TRUE
3-end RNA-seq,6,Keratinocyte,8,8,KRT14;SFN;COL17A1;PKP3;KRT16;KRT5;KRT17;TP63,3111,TRUE
3-end RNA-seq,7,Keratinocyte,12,12,S100A8;S100A9;SFN;PKP1;DSP;DSG3;S100A14;AQP3;CSTA;KRT14;JUP;DSC3,3039,TRUE
3-end RNA-seq,8,Keratinocyte,5,5,S100A14;PERP;DSC3;DSG1;DSP,2965,TRUE
3-end RNA-seq,9,Sebocyte,12,12,MGST1;FASN;FADS2;APOC1;ACSBG1;FDPS;ACSL1;CYB5A;APOE;ALOX15B;HMGCS1;THRSP,2607,TRUE
3-end RNA-seq,10,T cell,12,10,IL32;TRAC;SKAP1;STK17B;FYN;IKZF2;CTLA4;FOXP3;IL2RA;CD247;SPOCK2;MALT1,1920,TRUE
3-end RNA-seq,11,Perivascular smooth muscle,12,11,MYL9;CALD1;NOTCH3;TAGLN;PRKG1;NR2F2;ACTA2;MCAM;TPM2;MYLK;EBF1;RGS5,1857,TRUE
3-end RNA-seq,12,Adnexal epithelial,11,10,KRT19;CLDN4;KRT7;KRT18;ELF3;PLA2R1;KRT8;SLC12A2;ZG16B;NDRG2;AZGP1,1444,TRUE
3-end RNA-seq,13,Keratinocyte,7,6,COL17A1;TP63;KRT15;KRT5;S100A2;KRT14;DSG3,1226,TRUE
3-end RNA-seq,14,Plasma cell,16,14,MZB1;SSR4;DERL3;XBP1;IGHG4;TXNDC5;FKBP11;HERPUD1;JCHAIN;IGKC;IGHG1;POU2AF1;SEC11C;ST6GAL1;IGHG3;IGHG2,1155,TRUE
3-end RNA-seq,15,Mast cell,13,11,CPA3;TPSB2;TPSAB1;IL18R1;MS4A2;SLC18A2;GATA2;HDC;HPGD;KIT;HPGDS;VWA5A;SLC24A3,1115,TRUE
3-end RNA-seq,16,Adnexal epithelial,11,10,SCGB1B2P;AZGP1;PIP;KRT19;KRT7;DCD;SLC12A2;TSPAN8;ESRRG;MUCL1;KRT18,742,TRUE
3-end RNA-seq,17,Low information,8,7,RPL34;RPS27;RPL31;RPL35A;RPS6;RPS23;RPL23A;RPL39,327,FALSE
3-end RNA-seq,18,Other immune,6,4,IRF7;SEL1L3;RHEX;SLC15A4;RUBCN;IL3RA,325,TRUE
3-end RNA-seq,19,NK cell,8,4,GNLY;KLRD1;STAT4;NKG7;SYTL3;IL2RB;CTSW;KLRK1,323,TRUE
3-end RNA-seq,20,B cell,15,7,MS4A1;BANK1;CD74;MEF2C;HLA-DRA;HLA-DPB1;CD83;CD79A;HLA-DQA1;HLA-DQB1;CD37;HLA-DRB1;RIPOR2;PAX5;HLA-DPA1,253,TRUE
3-end RNA-seq,21,Perivascular smooth muscle,9,9,MYLK;TPM2;ACTA2;MYH11;TAGLN;MYL9;CNN1;GPC6;CALD1,184,TRUE
3-end RNA-seq,22,Myeloid/dendritic,14,7,CPVL;IRF8;WDFY4;HLA-DPB1;CD74;LYZ;HLA-DPA1;HLA-DRB1;HLA-DQB1;HLA-DRA;CST3;HLA-DQA1;LCP1;PLEK,166,TRUE
3-end RNA-seq,23,Endothelial,5,5,CCL21;RHOJ;PROX1;MMRN1;FLT4,68,TRUE
3-end RNA-seq,24,Melanocyte,13,12,PMEL;FMN1;MLANA;DCT;TYRP1;TRPM1;MITF;CAPN3;INPP4B;PLEKHA5;LINC01320;TYR;SOX5,62,TRUE
3-end RNA-seq,25,Schwann,8,7,CDH19;GPM6B;ERBB3;NTM;PMP22;GAS7;SOX10;FRMD5,57,TRUE
3-end RNA-seq,26,Myeloid/dendritic,5,1,CST3;CD74;LYZ;HLA-DQA1;HLA-DPB1,9,TRUE
Full-length RNA-seq,0,Fibroblast,12,12,CCDC80;CFH;LAMA2;ABI3BP;C3;FBN1;SLIT3;DCLK1;MMP2;FBLN2;DCN;MEG3,19245,TRUE
