platform,celltype,n_marker_genes,marker_genes,cell_class,marker_hits,second_marker_hits,assignment_margin,matched_marker_genes
3-end RNA-seq,0,20,PECAM1;A2M;AQP1;ADGRL4;GNG11;EPAS1;EMCN;LDB2;ENG;PTPRM;RAMP2;VWF;TGFBR2;CD93;PLVAP;SPARCL1;PTPRB;FLT1;TCF4;PLCB1,Endothelial,11,0,11,PECAM1;ADGRL4;EMCN;LDB2;ENG;PTPRM;RAMP2;VWF;PLVAP;PTPRB;FLT1
3-end RNA-seq,1,20,CXCR4;PTPRC;CD3D;FYN;CD52;IL32;TMSB4X;CD96;TRBC2;BTG1;ARHGAP15;SRGN;LINC-PINT;CD2;TNFAIP3;SAMSN1;TRAC;PPP1R16B;STK17B;CDC42SE2,T cell,10,5,5,CXCR4;CD3D;FYN;CD52;IL32;CD96;TRBC2;CD2;TRAC;STK17B
3-end RNA-seq,10,20,IL32;TRAC;SKAP1;STK17B;FYN;IKZF2;PTPRC;CTLA4;FOXP3;IL2RA;CD247;SPOCK2;DUSP4;MALT1;LDLRAD4;DUSP16;BATF;TNFRSF1B;ARHGAP15;S100A4,T cell,12,2,10,IL32;TRAC;SKAP1;STK17B;FYN;IKZF2;CTLA4;FOXP3;IL2RA;CD247;SPOCK2;MALT1
3-end RNA-seq,11,20,MYL9;CALD1;IGFBP7;NOTCH3;TAGLN;PRKG1;SPARCL1;NR2F2;ACTA2;MCAM;TPM2;MYLK;EBF1;RGS5;PRRX1;EDNRA;LHFPL6;CRIP1;TPM1;SPARC,Perivascular smooth muscle,12,1,11,MYL9;CALD1;NOTCH3;TAGLN;PRKG1;NR2F2;ACTA2;MCAM;TPM2;MYLK;EBF1;RGS5
3-end RNA-seq,12,20,KRT19;ATP1B1;CLDN4;SFRP1;KRT7;KRT18;CD59;ELF3;PLA2R1;KRT8;SLC12A2;ROCR;ZG16B;NDRG2;AZGP1;MT-CO3;CLDN10;DBI;ATP1A1;KRT15,Adnexal epithelial,11,1,10,KRT19;CLDN4;KRT7;KRT18;ELF3;PLA2R1;KRT8;SLC12A2;ZG16B;NDRG2;AZGP1
3-end RNA-seq,13,20,COL17A1;CXCL14;MIR205HG;DST;TP63;DAPL1;KRT15;THBS2;CBR1;GPNMB;KRT5;FGFR2;S100A2;SLC2A1;COL7A1;PTPRZ1;KRT14;FGFR3;DSG3;PCDH7,Keratinocyte,7,1,6,COL17A1;TP63;KRT15;KRT5;S100A2;KRT14;DSG3
3-end RNA-seq,14,20,MZB1;SSR4;DERL3;XBP1;IGHG4;TXNDC5;FKBP11;CD79A;HERPUD1;JCHAIN;FCRL5;IGKC;IGHG1;POU2AF1;SEC11C;ST6GAL1;IGHG3;IGHG2;IFNG-AS1;ITM2C,Plasma cell,16,2,14,MZB1;SSR4;DERL3;XBP1;IGHG4;TXNDC5;FKBP11;HERPUD1;JCHAIN;IGKC;IGHG1;POU2AF1;SEC11C;ST6GAL1;IGHG3;IGHG2
3-end RNA-seq,15,20,CPA3;TPSB2;TPSAB1;IL18R1;MS4A2;SLC18A2;GATA2;HDC;HPGD;KIT;HPGDS;VWA5A;SLC24A3;LAPTM5;P2RX1;SMYD3;ALOX5;ELL2;SRGN;SAMSN1,Mast cell,13,2,11,CPA3;TPSB2;TPSAB1;IL18R1;MS4A2;SLC18A2;GATA2;HDC;HPGD;KIT;HPGDS;VWA5A;SLC24A3
3-end RNA-seq,16,20,SCGB1B2P;AZGP1;PIP;KRT19;KRT7;DCD;SLC12A2;TSPAN8;ESRRG;MUCL1;PDLIM3;ELAPOR1;XBP1;KRT18;SERHL2;COBL;SCGB2A2;ARFGEF3;TTC6;CEACAM6,Adnexal epithelial,11,1,10,SCGB1B2P;AZGP1;PIP;KRT19;KRT7;DCD;SLC12A2;TSPAN8;ESRRG;MUCL1;KRT18
3-end RNA-seq,17,20,CXCL14;KRT15;BNC2;TENM2;RPL34;ADGRL3;NFIB;RPS27;RPL31;RPL35A;RPS6;LHX2;RPS23;RPL23A;CYP1B1;DIO2;RPS14;ENSG00000257322;RPL39;SFRP1,Low information,8,1,7,RPL34;RPS27;RPL31;RPL35A;RPS6;RPS23;RPL23A;RPL39
