platform,cell_class,n_unique_snvs,n_snv_cellclass_rows,source_clusters
3-end RNA-seq,Fibroblast,741,741,5
3-end RNA-seq,Keratinocyte,2291,2291,13;6;7;8
3-end RNA-seq,Endothelial,826,826,0
3-end RNA-seq,Perivascular smooth muscle,177,177,11;21
3-end RNA-seq,T cell,90,90,1;10
3-end RNA-seq,Plasma cell,58,58,14
3-end RNA-seq,Myeloid/dendritic,544,544,22;4
3-end RNA-seq,NK cell,1,1,19
3-end RNA-seq,Mast cell,103,103,15
3-end RNA-seq,Other immune,1,1,18
3-end RNA-seq,Adnexal epithelial,261,261,12;16
3-end RNA-seq,Sebocyte,157,157,9
Full-length RNA-seq,Fibroblast,2750,2750,0;10;16;3
Full-length RNA-seq,Keratinocyte,925,925,11;5;7
Full-length RNA-seq,Endothelial,1149,1149,1;8
Full-length RNA-seq,Perivascular smooth muscle,514,514,4
Full-length RNA-seq,T cell,750,750,2
Full-length RNA-seq,B cell,15,15,12
Full-length RNA-seq,Plasma cell,19,19,13
Full-length RNA-seq,Myeloid/dendritic,611,611,6
Full-length RNA-seq,Mast cell,5,5,14
Full-length RNA-seq,Adnexal epithelial,18,18,15
